search URL:,https://patents.google.com/?q=TI%253d%28autonomous+vehicle%29+OR+AB%253d%28autonomous+vehicle%29&before=publication:20161231&after=publication:20160101&type=PATENT&dups=language
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2739989-C,Control and systems for autonomously driven vehicles ,"Gray & Company, Inc., Paul Gerard Trepagnier, Jorge Emilio Nagel, Matthew Taylor Dooner, Michael Thomas Dewenter, Neil Michael Traft, Sergey Drakunov, Powell Kinney, Aaron Lee, Samsung Electronics Co., Ltd.","Paul Gerard Trepagnier, Jorge Emilio Nagel, Matthew Taylor Dooner, Michael Thomas Dewenter, Neil Michael Traft, Sergey Drakunov, Powell Kinney, Aaron Lee",2008-10-24,2009-10-26,2016-12-13,2016-12-13,https://patents.google.com/patent/CA2739989C/en,
US-9499202-B2,Steering system and method for autonomous vehicles ,"Delphi Technologies, Inc.","Matthew J. Lewis, Michael H. Laur",2015-04-15,2015-04-15,2016-11-22,2016-11-22,https://patents.google.com/patent/US9499202B2/en,https://patentimages.storage.googleapis.com/13/ca/a1/eaf6918993bfe6/US09499202-20161122-D00000.png
US-9511779-B2,Engaging and disengaging for autonomous driving ,Google Inc.,"Brian Douglas Cullinane, Philip Nemec, Manuel Christian Clement, Robertus Christianus Elisabeth Mariet, Lilli Ing-Marie JONSSON",2012-11-30,2016-03-21,2016-12-06,2016-12-06,https://patents.google.com/patent/US9511779B2/en,https://patentimages.storage.googleapis.com/1f/1a/83/3851edb60e2f29/US09511779-20161206-D00000.png
US-9352752-B2,Engaging and disengaging for autonomous driving ,Google Inc.,"Brian Douglas Cullinane, Philip Nemec, Manuel Christian Clement, Robertus Christianus Elisabeth Mariet, Lilli Ing-Marie JONSSON",2012-11-30,2015-06-22,2016-05-31,2016-05-31,https://patents.google.com/patent/US9352752B2/en,https://patentimages.storage.googleapis.com/2a/02/38/0ebc56166c0c14/US09352752-20160531-D00000.png
US-9285222-B2,Autonomous vehicle power line position and load parameter estimation ,"Optimal Ranging, Inc.","James W. Waite, Thorkell Gudmundsson, Dimitar Gargov",2010-06-21,2015-04-27,2016-03-15,2016-03-15,https://patents.google.com/patent/US9285222B2/en,https://patentimages.storage.googleapis.com/5b/35/d2/271d221c6c116f/US09285222-20160315-D00000.png
US-9399472-B2,Autonomous mode vehicle control system and vehicle comprising such a control system ,Renault S.A.S.,Nicoleta Minoiu-Enache,2012-04-05,2013-04-04,2016-07-26,2016-07-26,https://patents.google.com/patent/US9399472B2/en,https://patentimages.storage.googleapis.com/8f/41/85/870448c977fe5c/US09399472-20160726-D00000.png
US-9400500-B2,Autonomous vehicle refueling locator ,"Toyota Motor Engineering & Manufacturing North America, Inc.",Michael J. Delp,2014-11-14,2014-11-14,2016-07-26,2016-07-26,https://patents.google.com/patent/US9400500B2/en,https://patentimages.storage.googleapis.com/2e/c3/fb/bbf0396e865c76/US09400500-20160726-D00000.png
US-9383749-B2,Transitioning a mixed-mode vehicle to autonomous mode ,Google Inc.,"Luis Ricardo Prada Gomez, Nathaniel Fairfield, Andy Szybalski, Philip Nemec, Christopher Urmson",2011-05-11,2014-08-25,2016-07-05,2016-07-05,https://patents.google.com/patent/US9383749B2/en,https://patentimages.storage.googleapis.com/92/76/17/87b5e4b9735999/US09383749-20160705-D00000.png
US-9465388-B1,Remote assistance for an autonomous vehicle in low confidence situations ,Google Inc.,"Nathaniel Fairfield, Joshua Seth Herbach",2014-03-03,2014-03-03,2016-10-11,2016-10-11,https://patents.google.com/patent/US9465388B1/en,https://patentimages.storage.googleapis.com/83/81/a9/0e11b5deead3e1/US09465388-20161011-D00000.png
US-9511767-B1,Autonomous vehicle action planning using behavior prediction ,"Toyota Motor Engineering & Manufacturing North America, Inc.","Bunyo Okumura, Michael R. James, Katsuhiro Sakai, Tomoki Nishi",2015-07-01,2015-07-01,2016-12-06,2016-12-06,https://patents.google.com/patent/US9511767B1/en,https://patentimages.storage.googleapis.com/04/86/51/2e392b09f703aa/US09511767-20161206-D00000.png
